,user_id,sentiment_analysis,posted,item_id,recommend
227,mimimomoma,2,2015,730,1
228,76561198102410011,1,2015,440,1
229,de_Butl3r,2,2014,209870,1
230,76561198027947401,2,23,322170,1
232,Bluezap1,1,2015,440,1
236,76561198074200011,2,2015,730,1
237,jonasdbomb,2,9,346110,1
238,L1J1N,2,2014,570,1
239,Lord_Exploit,2,2015,311560,1
241,AVATAR715,1,2014,48240,0
249,YieuwMage,2,22,730,1
250,76561198078752187,1,2014,240,1
251,A-Very-Sly-Person,1,2015,304930,1
253,76561198211054671,1,29,730,1
255,76561197994493402,2,20,365590,1
258,Koolcaz12,2,17,298050,0
259,76561198065656175,2,2015,383080,1
260,76561198188979775,2,17,440,1
261,97396295,2,2014,301520,1
265,76561198126640317,2,2015,251570,1
272,DemonicWolvz,2,2015,55230,1
278,DieMadchenschanderin,2,2015,346110,1
282,GGargula,1,4,570,0
284,Myther43,2,16,273350,1
285,getf0kinn0sc0pedm9,0,2015,730,1
287,76561198141443390,2,2015,730,1
288,76561198097333029,1,14,570,1
289,whodafuqisthisguilao,2,2015,730,1
290,Magjiikal,2,2015,370480,1
292,ohnospaghet,1,2014,1840,1
298,76561198050347115,0,19,292030,1
299,2768820078,1,2015,287700,1
309,76561198056392326,1,7,259530,1
312,2d4nk4m3,2,2014,317470,0
314,76561198078478151,1,10,730,1
315,exiaez,1,15,365450,1
316,76561198095921854,2,2015,245620,1
317,EizanAratoFujimaki,2,2015,70,1
319,TeCool,2,2014,274980,1
323,2xDelorean,2,2015,570,1
327,washington_,2,19,440,0
333,jewxxl,2,2015,251970,1
334,76561198088944293,0,22,359550,1
339,76561198092540221,2,2015,400,1
344,76561198051258119,2,2015,730,1
345,nubquake123,2,2014,265610,1
346,Pyromanic,1,2013,31280,1
349,76561198109656922,2,27,440,1
350,CobRazor,1,2015,252490,1
351,relesprit,2,2013,8930,1
352,WitchHunter4542,2,2014,304930,1
355,pwrt,2,2015,230410,1
357,wantmahbody,2,2014,440,1
358,76561198115868847,0,1,219640,0
359,benedictcuminherbatch,2,2014,570,1
360,76561198031207016,2,2014,8930,1
361,76561198043458582,2,2015,105600,1
365,smashiroshh,2,2014,218620,1
366,shark854,2,7,225540,1
367,killbunny38,2,2015,570,1
369,76561198047630659,2,2015,230410,0
370,1337lolroflmao,2,2015,271590,1
379,sithjjf,0,2015,302830,0
380,76561198060039459,0,2014,570,0
381,OzfurAtlas,1,10,218620,0
384,76561198065593074,0,2015,304930,0
388,76561198044169764,2,2015,227940,0
392,euzi,2,2014,236390,1
393,76561198074935997,0,15,221100,0
401,76561197961778802,2,2014,730,1
402,lucasrash,1,8,440,1
403,76561198016602703,0,2,301520,0
405,thisissohardtomakeoneup,1,2014,440,1
406,76561198087010391,2,2015,4000,1
407,66666669999999,1,2015,302830,0
408,76561198061174192,2,2014,220200,1
410,ReMiXOfficalSteam,2,2015,352460,1
411,Wilfire77,2,2015,322920,1
412,76561198084390807,1,2015,234792,1
414,Mastic,0,2015,304050,0
420,76561198028286104,2,2013,10180,1
421,tarjla,2,26,242760,1
431,deathnz1,1,18,233110,0
434,readingthis4noobs,2,14,227940,1
435,76561198104393251,2,2015,304930,1
436,76561198075322986,1,30,730,1
437,redsncrimson,2,18,448530,1
446,76561198151910904,2,22,252950,1
447,H1DD3NT3RR0R,2,2014,240,1
453,76561198071214618,2,2015,268750,1
454,76561198115115631,2,2015,570,1
455,76561198071175142,1,2015,570,1
457,t8s,2,2015,360870,1
459,pikawuu2,1,12,230410,1
461,Sammeh00,2,2014,301520,1
462,Michaelele,2,2014,6060,1
466,76561198045754869,1,2015,335670,1
467,76561198076098774,2,2015,215080,1
468,76561198103253374,0,2014,570,1
469,76561198048417105,2,2015,271590,1
473,76561198090842891,2,2015,8190,1
474,76561198055767971,0,2015,247730,0
475,76561197998052647,2,2014,233630,1
476,adohya343,2,24,303390,0
477,76561198145436942,2,2014,221100,1
478,jjas01,2,2014,208812,0
488,3xotic26,2,2014,500,1
492,iamthetrashlord,2,2015,206420,1
494,3dster,2,2015,550,1
495,76561198079990063,2,2014,231040,1
496,Forty-Nine,0,2014,221100,1
498,76561198051017916,1,2015,351040,1
500,L4M1NAS,2,15,227940,1
503,76561198096766604,2,16,301520,0
504,76561197995322437,2,2015,264710,1
505,imsojipper,2,2014,218620,1
506,76561198084542731,1,2015,206420,1
508,76561198103671881,2,2015,570,1
509,mrpfresh,0,22,236110,1
512,GamerFag,2,2012,440,1
518,EHS-R3AP3R,1,2015,339230,0
522,chidori_647,2,2013,219990,1
527,76561198092227136,2,2014,730,1
529,hellcat59,2,2014,4000,1
530,76561198007584361,0,2015,401650,1
531,tbimperator,2,2012,35450,1
532,Allahu_Akbar666,2,2015,230410,1
534,ulramite,2,2014,290020,1
537,-GM-Dragon,0,2014,226700,0
539,76561198054040292,2,2015,298260,1
540,76561198078799606,0,2015,370240,0
543,I_DID_911_JUST_SAYING,2,27,214420,1
548,750805,0,24,369070,0
550,diabeticfuck,2,2015,218620,1
554,76561198054465623,1,2015,302830,0
560,aaropro,2,2014,440,1
562,abiam,1,2014,238960,1
563,FrankoWalker,2,2015,310370,1
566,LightfootSword7,2,2015,221100,0
568,SALTTHEW0UND,1,2015,248820,1
574,express157,2,2014,304930,1
575,76561198074644990,1,2015,242760,1
578,76561198064304806,1,2015,730,1
579,TomoeMamiewe,1,2014,10150,1
581,76561198057086148,2,2015,214950,1
582,Acidius99,2,2014,218620,1
587,acorn13,2,2014,313740,1
590,adamcookie,2,14,570,1
591,AddzyTheBaddzy,2,2015,291550,1
593,mrfunkyjunkie,2,2014,233250,1
596,mradobe7,2,28,275850,0
597,76561198167207237,0,10,337320,1
601,cancerkek,1,2015,730,1
602,76561198073508075,2,2014,10090,1
605,76561198074323290,2,12,252490,0
607,76561198090899557,1,28,252490,0
608,advenger95,2,2015,22370,1
611,EndAtHallow,0,2015,1250,1
612,76561198063624801,1,2014,440,1
613,aeryal,2,2014,440,1
614,76561198070263209,1,2013,570,1
615,76561198015968275,0,2015,248610,1
616,Agiegamma,2,2014,208090,1
617,76561198082614708,2,2014,250340,1
618,Agronoth,2,2014,244850,1
623,UnholyFallenAngel,2,2014,262410,1
626,76561198068565589,1,2014,221100,1
629,SlutOnTheSpit,2,2014,4000,1
630,WestyGaming,1,2014,223710,1
631,NaruseAiria,1,2014,317360,1
635,76561198067713802,2,2015,239660,1
637,76561198187212131,2,8,730,1
638,76561198044678148,1,29,495890,1
640,Alex680,2,2014,4000,1
641,alansiulun,2,2014,295270,1
643,Albolah,0,2015,283920,1
646,76561198003056556,2,9,432020,0
648,maxpaynepillkiller,2,16,319630,1
654,AlexNoClutch,1,2015,227860,0
655,Alexwai04,2,2015,218620,1
656,76561198095481910,0,2014,208090,1
657,76561198164545985,2,12,730,1
658,AlkalineDeath,2,2015,228280,1
660,76561198075935236,1,2015,226700,1
662,mintifreshbadger,0,2015,35450,1
663,AlpacaRevolution,2,7,9900,1
666,AlphaBryn444,2,28,236370,1
667,76561198071952798,0,7,381210,1
671,76561198009001563,1,2014,570,1
672,76561198016753953,2,2014,271290,1
674,smegmyfoodle,2,2015,346010,1
676,76561198057869849,2,2015,313120,1
677,76561198058836921,2,2015,211820,1
678,lol_ursuchanoob,0,2014,218620,1
682,AMV72,2,2013,206440,1
687,76561198069170979,2,2015,440,1
688,76561198085956238,1,3,224540,0
692,76561198132540690,2,2015,730,1
694,711armageddoncarmageddon,1,2015,113020,1
697,76561198034868596,2,17,359870,1
698,Andraison,0,2015,22230,1
699,76561198055790408,2,2013,203770,1
700,76561198069560699,2,2013,550,1
704,76561198099625419,1,2014,230410,1
709,76561198084032274,0,2014,227940,0
711,Angrovar,2,2014,17390,1
713,AngryAinsley,2,2015,317360,1
717,uradumbtit,0,2014,274310,1
719,76561198037038784,0,12,252470,1
720,IKillNoobsFirst,2,2015,730,1
721,76561198037888300,2,2015,344770,1
722,1234865654,1,2014,22380,1
723,76561198040925596,2,18,440,1
724,76561198084123358,2,2015,9900,1
725,Apachehavoc,1,2014,107410,0
726,ApexNZ,2,2014,221640,1
731,76561198039441595,1,2014,113020,0
740,76561198036687918,1,2015,377160,1
741,benjamin27,1,2015,730,1
743,AppoGetsSuperAdmin,1,2015,212500,1
746,76561198071475367,2,11,12160,1
747,76561198049916759,2,2015,219990,1
749,76561198065064829,2,13,219640,1
750,XABLAUziitu,2,2015,214420,0
754,76561198012909706,2,2013,218130,1
755,dragonchief,0,2014,252490,0
756,76561198040530605,2,23,270210,1
764,76561197974500703,2,2012,8980,1
774,76561198047185525,1,2014,213670,1
777,sweep6060,2,21,391540,1
778,bilyitu,1,2014,570,1
780,76561198021244661,2,2014,105600,1
781,76561198088538797,2,2015,209870,1
782,deployablearchnagel,1,2014,265630,1
783,rotflmaoman,2,2015,401920,1
784,armouredmarshmallow,2,20,33230,1
794,76561198020928326,2,2014,70,1
795,Array71,1,2014,8500,0
797,76561198039874575,1,2014,221100,1
798,arronlim13,2,2015,99900,1
799,ARTHERDUNGER10,0,2015,250900,1
800,Mackus1011,2,2013,211820,1
804,76561198041877981,1,2014,2450,0
806,ARZARNAR,2,31,220200,1
807,darkmassieh,2,28,47780,1
817,asianturtlefrenzy,2,2015,246420,1
827,blowjobsfurdayzandgayz,1,2015,570,1
831,76561198082992295,2,2014,4000,1
835,LaLocaDeLosDulces,1,2015,80,1
836,76561198064352761,2,2014,56400,1
837,assassin_warman,0,4,257850,1
846,Astrelt,2,2015,385770,1
856,76561198091740831,1,27,387990,1
857,AtomicWoodchuck,1,12,310560,0
858,omgihaveawebpage,2,11,630,1
865,Swish0009,0,2014,218620,1
870,Aurora99,1,2014,72850,1
879,76561198053071988,1,2015,271590,0
880,76561198083375450,2,2015,225640,1
887,scroopy22,0,10,236690,1
888,76561198078730600,2,2014,440,1
889,auzmoz,2,4,17100,1
898,auzzie_96,2,2014,289130,1
899,fatrangacuntnolifevirgin,2,2014,202970,1
900,76561198064150679,2,2014,20920,1
901,76561198110293299,2,2014,265930,1
905,de_triggered,0,28,270370,1
913,76561198071748311,2,11,391540,1
914,Azrafael,1,2013,215530,1
916,-Azsael-,2,23,226860,1
917,76561198076301023,0,2014,251570,1
918,hoarbiscuit,2,2014,55230,1
919,bohgeraltofrivia,2,2013,259700,1
921,TeH-B-Rad,1,2014,730,1
923,BAW_Killer,2,2014,221100,1
926,gamerdude7892,2,2015,22380,1
927,2ez4medick,2,2014,570,1
928,BBBirb,1,2014,4000,1
930,AgentXiri,0,2014,570,1
931,76561197998761331,2,2014,310380,1
932,76561198064579722,2,24,4000,1
933,76561198096750939,2,2015,4000,1
934,potatoskins,1,21,233270,1
935,crispymemesmantheyremyfavourite,2,2015,230410,1
939,76561198074409406,2,2015,391460,0
940,H-Alo,1,2015,346010,1
941,420Blz,2,2013,107410,1
942,76561198076548816,0,2015,200210,1
947,chillrend,2,2014,221100,1
951,BarretaJrs,1,22,440,1
952,Gborges,1,2014,440,1
953,lukeyturley,2,10,730,1
956,PolygonCloud,2,28,205890,1
957,76561198095142204,0,2015,570,1
958,BOB_200,1,2014,8400,1
960,76561198070735033,0,2015,359290,0
961,76561198018560501,2,2013,10500,1
962,76561198069458790,1,17,730,1
965,76561198051148175,0,2014,218620,1
966,76561198047208452,2,2013,220240,1
969,generalale,1,2014,239160,1
972,brendoboy,2,2013,630,1
979,76561198071234254,1,2014,200210,1
984,76561198165870150,2,2,72850,1
986,76561197988934555,1,12,236390,1
990,Infixation,2,2015,346560,1
997,76561198071162228,2,8,218620,1
998,76561198047304525,0,2014,239070,1
999,76561197994969639,2,2011,91310,1
1000,JuanManSnipez,2,2014,730,1
1001,Ben_Andy,2,2014,265770,0
1003,Bennysaputra,2,2015,10,1
1004,76561198067021476,2,2014,730,1
1009,76561198190487725,2,10,252490,1
1011,76561198045071942,0,2015,310380,1
1012,Bhappiikhat,2,2014,304930,1
1013,Ahahahahahahahahahahahahahahaha,2,14,363970,1
1015,BITCHPLESE,0,2015,295110,1
1018,Too_1337,2,2012,220,1
1020,kinglemon1222,0,2012,48700,1
1021,76561198030636321,1,2015,255710,1
1022,76561198007342405,0,25,364360,1
1025,IJustWantedToTalk,2,2015,4000,1
1031,76561198081885254,1,23,265630,1
1032,76561198034643189,2,2014,263280,1
1033,LlamasInNigjamas,2,2014,730,1
1034,mavros88,1,2015,369200,0
1043,76561198035363871,2,14,381210,0
1044,Hummingsenpai,0,2015,333930,1
1045,CHAAANG,2,2015,10680,1
1047,76561198056980314,2,15,236390,1
1049,76561198077586769,2,2015,440,1
1050,bitmat,2,2015,300570,1
1054,76561198028483487,1,2013,238260,1
1055,Ghoster09,0,2015,206210,1
1058,76561198081496844,1,2014,6060,1
1059,180577,1,2015,440,1
1060,Barridos,1,2014,4000,1
1061,Blackhawk611,0,5,364360,1
1062,76561197988863895,0,4,238430,0
1064,76561198042728201,2,2014,221100,1
1066,hbk1462,2,2014,4000,1
1067,76561198088724903,2,2013,570,1
1068,76561198057521157,2,2015,344760,1
1072,76561198053766465,2,26,374320,1
1073,76561198057389499,2,2014,222880,1
1079,FHK,1,2015,237930,1
1080,76561198030735076,0,2013,570,1
1082,Bluegills,2,2014,293780,1
1090,76561197970931849,2,28,449710,1
1093,rrbr,0,2015,244050,0
1095,13lazer,1,2012,33930,1
1096,76561198044344399,2,2015,352460,1
1097,76561197999613236,2,2013,251570,1
1101,RespekPlox,2,2015,72850,1
1102,76561198062288797,2,2015,333930,1
1104,bobseagull,2,2014,730,1
1111,bokkkbokkk,2,2015,346110,1
1113,Bonesdontrattlethem,0,2014,4000,1
1114,76561198062403736,2,3,335300,1
1116,76561198073642113,1,2012,550,1
1119,76561198211433640,1,3,218620,1
1121,ilyjoepoe,2,2015,318430,1
1122,Mantrouminati,1,2014,570,1
1123,hididdlyhoe,0,2014,440,1
1125,76561198027225504,2,2014,230410,1
1131,dicksoutforboromir,0,2015,334230,1
1138,probotsteve,1,2015,730,0
1139,76561197977543317,0,2014,243470,0
1140,BrutalLegend69,2,2013,225260,1
1141,76561198007539695,1,2014,45730,0
1143,76561198064026657,2,2014,96100,1
1145,76561198024450886,0,2013,213650,1
1146,saint556,2,10,429720,1
1153,Brayneeah,0,31,211420,0
1154,brettebear,2,2014,220780,1
1155,metiqu,1,2015,730,1
1156,Brianseb,1,27,304930,1
1158,spike_heart,2,2014,237740,1
1159,brocky0405,2,21,6830,1
1166,76561198046094676,2,2012,72850,1
1171,Vladimirputinisgreatman,2,30,385770,1
1176,Br0wni3,2,2015,730,1
1177,76561198079351819,1,7,316010,1
1178,76561198093381429,2,2015,200210,1
1179,76561198110065267,2,2015,10090,1
1181,76561198059167106,2,2014,41300,1
1182,76561198105270589,2,2014,268750,1
1186,Trutle,0,2014,291550,1
1189,BugsyBro,0,2015,322910,1
1195,Jyep,2,16,230410,1
1197,76561198074561346,2,2014,274940,1
1205,76561198094074209,0,2015,246620,1
1208,BurningCassette,2,12,461560,1
1210,76561198087011672,2,2014,208090,1
1211,busternut,2,2015,237870,1
1216,76561198075981950,2,2015,221100,1
1218,Butteryyy,2,2013,1840,1
1219,76561198079326390,1,2014,105600,1
1221,76561198142749308,1,2015,292030,1
1223,897w463824638109276,2,2014,252490,1
1225,Butterz,2,2014,72200,1
1226,8789568,2,2015,252490,1
1227,76561198112547239,1,2015,230410,1
1228,ByzGirl,0,2015,305620,1
1230,C14M8S,1,2014,200210,1
1240,1122305938,1,2014,211820,1
1244,76561198069050565,2,2014,238960,1
1246,Cabey64,2,27,255710,1
1250,Cabjoy,2,2014,94400,1
1251,76561198082278758,1,22,346110,0
1252,Stormaggen,0,2015,42910,1
1253,gusvu,2,2015,238010,1
1255,Punixa,1,11,287700,1
1262,76561198051084367,2,18,418340,1
1263,76561198044402508,2,2015,302590,1
1264,76561198081987102,2,2013,242880,1
1267,76561197996741396,2,2013,22380,1
1268,calii,2,3,378648,1
1271,76561198084718144,2,2015,209080,1
1272,76561198077034833,2,2014,56400,1
1273,calypto52,2,2013,49600,1
1274,camduman,1,29,408740,0
1279,camquarter,2,2014,233720,1
1280,aquelecaraqfazaquilo,1,2015,205350,0
1290,76561198079009374,2,2014,4000,1
1291,76561197992910116,1,2014,267750,1
1297,jonjon4351,2,2013,220240,1
1298,76561198008551473,1,2014,22380,1
1300,ThePyrite99,2,2014,72850,1
1301,76561198062276935,0,2015,221100,0
1304,76561198048121243,2,2013,252490,1
1307,CAPTAINVRITRAS,2,2015,570,1
1308,ConkerBirdy,2,2015,391540,1
1312,76561198078194423,2,2015,105600,1
1313,76561198067657905,2,2014,4000,1
1314,76561198070072786,1,2015,417860,1
1317,76561197966764681,2,2014,730,1
1318,76561198007988939,2,2015,305620,1
1319,ca_ra_cal,2,2015,348960,1
1320,76561198067721589,2,22,435870,0
1324,76561197996092338,2,2012,440,1
1325,carouserwhite,2,2014,4000,1
1328,76561198045631910,2,2014,252490,1
1329,76561198078670623,1,1,218230,1
1331,Lord_Casso,2,2015,287920,1
1334,76561198058789410,2,13,413150,1
1335,76561198070087725,2,2014,48700,1
1336,fsfs546hd,1,2013,70000,1
1337,76561198045283919,1,5,232810,0
1340,76561198081438874,0,24,207140,1
1342,76561198072411281,2,2015,17480,1
1346,76561198032143135,1,2014,105450,1
1347,CrazyGiraffe71,2,2015,107410,1
1348,chalkmetal,2,2014,225260,1
1349,kggj,2,2015,239350,1
1351,asdasdfsadgdfhfgjggj,2,2015,222880,1
1353,elheat,2,2010,440,1
1354,ElementalGodChaos,2,2015,230410,1
1360,76561197971917242,2,2015,249650,1
1361,melonmaniac,2,2015,730,1
1363,76561198048491595,2,2013,105600,1
1364,76561198074108172,2,2015,730,1
1365,charmaps5,2,2014,200510,1
1366,mexz1999,0,4,730,0
1369,IchMasKung,0,2015,301520,1
1373,HoxtonPleaseDontSueMe,0,2015,219740,1
1380,76561198051215704,1,2014,252490,1
1383,76561198058842042,0,19,301520,0
1384,76561198074291619,1,2015,99900,1
1385,cheetahpocalypse,2,2014,72850,1
1388,Axzothrift,0,2015,393420,1
1389,76561198283109848,2,8,291550,1
1390,Chermoil,2,3,396900,1
1391,harharharharhar,1,2015,304930,1
1392,chicken_tonight,2,30,286160,1
1402,chidvd,2,2011,107100,1
1410,76561198056960847,1,2014,230410,1
1412,76561198052700471,1,5,349700,0
1413,76561198097450390,0,2015,25890,0
1417,76561197981448997,0,25,365590,0
1418,aerpub,2,2014,265930,1
1420,76561198078733772,1,2015,301520,1
1421,76561198061273070,2,2015,105600,1
1422,SmeshDoge,2,2015,17080,1
1428,76561198037342853,2,2015,730,1
1429,76561198062869989,2,2015,204360,1
1433,harrisonnorris,2,3,431240,1
1435,76561198142474106,0,2015,4000,1
1439,Los_Shmurdos,2,2014,206420,1
1440,ciborg2000,1,24,329650,1
1447,Mikinmash,2,2013,33930,1
1448,76561198060510583,2,12,412830,1
1450,Norf_Norf,2,24,364360,1
1460,76561198041840982,2,16,275850,0
1462,76561198056339034,1,2015,319510,0
1466,OfficialSenix,2,2015,312280,1
1476,mike14476,1,2014,8870,1
1479,kelby003,2,8,322500,1
1483,Clawz3z,2,2014,105600,1
1484,76561198079650317,1,2015,34900,1
1485,76561198071207551,2,2013,440,1
1492,76561198061039259,2,2014,550,1
1495,76561198074202726,0,2015,291210,1
1496,76561198074347537,1,2014,4000,1
1497,SurfChicken,2,2015,730,1
1498,76561198126142125,0,2014,236390,0
1499,Clouwolf,1,1,730,0
1500,76561198043339975,2,2015,252950,1
1506,69bmw,2,2015,355180,1
1508,76561198067414480,2,2014,730,1
1510,76561198078246064,1,2015,233270,1
1512,iamshingo,2,2013,218620,1
1513,SirParadiseLost,2,2015,239030,1
1517,Rafantasma,2,2013,440,1
1518,SupermanSocks17,2,2015,200510,1
1525,76561198061456632,2,11,385730,1
1529,76561198049614185,1,2015,223710,1
1538,76561198046958203,2,2013,35420,1
1546,UnseenEvangelist,1,2014,202970,0
1547,jichaelcoaching,1,2015,377160,1
1548,CompoBlue,2,10,253710,0
1549,MT-101,2,2015,334230,1
1550,76561198172099661,2,2015,440,1
1553,ConjuredMadness,2,2013,219740,1
1556,cookieblade,0,2013,219740,1
1557,coolslayer666,1,2014,730,1
1558,cheese_is_illuminati,1,2015,730,1
1559,76561198042756236,2,16,262060,0
1561,ndrss,0,2014,255480,1
1565,76561198081677554,1,2015,22380,1
1567,Gamercubeeyes,2,2015,271590,1
1568,76561198091515229,2,2015,440,1
1569,NotJustAnyOrange,2,2015,374570,1
1570,cosmicguy22,2,5,238960,1
1571,Cosmonaut123456789,1,2014,440,1
1574,76561197971591275,2,2015,377160,1
1575,TheCheekyOne,1,5,383080,0
1576,aProfileInTheMidOfNowhere,2,2015,730,1
1577,76561198107928649,2,2014,202970,1
1580,76561198056352983,2,2014,231430,1
1581,76561198104404617,1,23,383080,1
1587,76561198071955492,2,2014,330830,1
1596,76561198073799272,2,27,212680,1
1597,bruhbruhxd,2,2015,311210,1
1600,Crazymac123,1,2014,252490,1
1604,76561198135673978,2,2015,105600,1
1605,76561198045148546,2,2015,306130,0
1606,76561198077244610,2,26,313160,1
1608,76561198063850360,2,2015,416690,1
1609,76561198080465715,1,2014,304930,1
1610,CrimsonStormFTW,2,21,33930,1
1613,cripla66,2,2014,9930,1
1614,76561198064305132,2,2015,440,1
1615,76561198067214601,2,2013,224540,1
1621,76561198017913139,0,2015,227680,0
1625,OldLeakyBoat,2,2015,250900,1
1626,SSAANNEESS,0,2015,218620,0
1631,fatkris,1,25,316010,1
1632,cruzercru,1,13,107410,1
1633,getyourmarsbar,1,2015,4920,0
1634,76561198107811819,2,2015,224260,1
1640,aweoplopo,2,2014,42700,1
1641,76561198042921883,2,13,273350,1
1647,kanekicg,2,2015,423880,1
1649,76561198048024738,1,2015,383080,1
1651,76561198084976671,2,2014,8930,1
1655,THE_ART_OF_FEEDING,2,2013,209730,0
1657,Cynex_,1,13,65980,1
1658,76561198039197193,1,2014,208090,1
1659,76561197996190797,2,2015,570,1
1660,76561197995146150,0,2015,351555,1
1662,76561198082559637,2,2015,250400,1
1664,DKA013,0,2014,208090,1
1667,76561198069345625,2,2015,570,1
1668,D00MS,2,2014,10180,1
1669,76561198059201575,1,2015,107410,1
1671,76561198060901683,0,2014,213670,1
1673,76561198074763789,2,2015,203160,1
1680,DABLUICE,0,2015,218620,0
1681,BlitzGames,2,2014,249130,1
1684,DaftyTM,0,2015,730,1
1685,76561197992227006,1,2015,301520,0
1689,76561198070775610,1,27,48700,1
1693,76561198012514677,1,2015,4000,1
1694,76561198053111161,2,23,304930,1
1695,76561197970691715,0,2013,212680,1
1696,misterross,2,2014,241600,1
1698,76561198044888778,2,2015,320350,1
1699,mainkradxdxdx,2,16,304930,1
1701,76561198101576470,2,4,208090,1
1706,Dante69123,0,13,374320,0
1710,Dantress,2,2015,263060,1
1711,76561198079220364,0,2014,301520,0
1713,DareTheSeal,2,2014,233250,1
1716,blackcheeze,2,11,322170,1
1720,6dighero,2,2015,325610,1
1722,DarkDragonForce,2,2014,244850,1
1723,76561198044594262,0,2015,282070,1
1725,76561198136941803,2,12,730,1
1726,76561198021814659,2,2013,224500,1
1730,76561198078913614,1,2014,312990,1
1732,BOBROSSJPEGEXE,1,2015,287450,1
1736,blablabla174,0,24,304930,1
1739,fatppl,2,2015,211420,1
1740,76561198050864519,2,2015,273350,1
1742,datts,2,2014,730,1
1743,sirkillsalot1337,0,2015,200210,1
1745,76561198082545803,2,2014,252490,1
1746,76561198115099755,1,2015,211820,1
1747,76561198046045640,2,2014,730,1
1753,76561198195091390,1,8,570,1
1755,damayo,1,19,434260,1
1756,76561198084697858,0,2015,268750,1
1758,76561198008827809,0,2014,278080,1
1761,76561198039605834,0,2014,236430,1
1763,Yugm,2,19,286160,1
1768,dblddr,2,2014,218620,1
1770,deathbreath220,1,2015,250900,1
1771,76561198084112448,2,2015,250500,1
1772,76561198097730477,2,2014,238240,0
1773,DeepCrysis,0,2014,730,1
1775,shay181,2,2015,287390,1
1777,degen97,1,2013,6060,1
1778,76561197994831363,2,25,468240,1
1780,deltalink21,2,21,218620,0
1785,Qzt,0,2014,224420,0
1792,76561198052661205,1,2014,224540,0
